id_municipio,d1_volume,d2_crescimento,d3_capacidade,d4_renda
3509502,2.5,2.5,0.07,2.5
3525904,2.5,2.5,0.1,2.5
3538709,2.5,2.5,0.09,2.5
3552205,2.5,2.5,0.06,2.5
