id_municipio,descricao_subsetor,total_2020,total_2022,eleg_2020,eleg_2022,sal_medio_2022,pct_eleg_2022,delta_total_pct,delta_eleg_pct
3552205,Ensino,14502,15592,49,604,4687.6,3.9,7.5,1132.7
3552205,"Indústria da Borracha, Fumo, Couros e Similares",5981,6402,352,475,6513.75,7.4,7.0,34.9
3552205,Comércio Atacadista,18673,22596,167,436,3270.73,1.9,21.0,161.1
3552205,Transportes e Comunicações,24825,27914,90,307,3764.1,1.1,12.4,241.1
3552205,"Serviços Médicos, Odontológicos e Veterinários",58532,75493,46,286,3153.46,0.4,29.0,521.7
3552205,Indústria Metalúrgica,8410,9964,101,149,4089.92,1.5,18.5,47.5
3552205,"Indústria do Papel, Papelão, Editorial e Gráfica",1685,2529,10,143,5045.74,5.7,50.1,1330.0
3552205,Indústria Têxtil do Vestuário e Artefatos de Tecidos,7418,7622,57,118,3303.39,1.5,2.8,107.0
3552205,Construção Civil,15579,19062,5,91,2709.97,0.5,22.4,1720.0
3552205,"Serviços de Alojamento, Alimentação e Reparação",44340,48458,30,83,2470.57,0.2,9.3,176.7
3552205,Serviços Industriais de Utilidade Pública,780,2751,8,50,6057.0,1.8,252.7,525.0
3552205,Extrativismo Mineral,978,974,22,33,4710.42,3.4,-0.4,50.0
3552205,Não Classificado,,535,,31,6089.25,5.8,,
3552205,Indústria de Produtos Minerais Não Metálicos,4174,4695,0,22,3049.3,0.5,12.5,
3552205,Indústria da Madeira e do Mobiliário,1006,1089,2,6,2998.74,0.6,8.3,200.0
3552205,"Agricultura, Silvicultura, Criação de Animais e Extrativismo Vegetal",1537,1997,0,6,2082.09,0.3,29.9,
3552205,Indústria de Calçados,25,36,0,0,2407.17,0.0,44.0,
