id_municipio,cbo_2002,descricao_cargo,vinc_2020,vinc_2021,vinc_2022,sal_2020,sal_2021,sal_2022,eleg_2020,eleg_2021,eleg_2022,delta_vinc_pct,delta_eleg_pct
3538709,782510,Motorista De Caminhão (Rotas Regionais E Internacionais),10170,10540,11353,2599.39,2791.95,3521.66,0,0,124,11.6,
3538709,142320,Gerente De Vendas,812,855,744,6481.23,6287.68,9614.99,89,59,117,-8.4,31.5
3538709,121010,Diretor Geral De Empresa E Organizações (Exceto De Interesse Público),101,150,136,31074.52,40192.76,117983.66,52,93,102,34.7,96.2
3538709,142305,Gerente Comercial,1242,1214,1191,6863.94,7928.72,6678.18,133,130,96,-4.1,-27.8
3538709,141710,Gerente De Agência,72,81,93,10488.4,12421.89,37049.36,23,33,92,29.2,300.0
3538709,142330,Analista De Negócios,264,413,596,6273.58,5928.88,8282.38,4,7,91,125.8,2175.0
3538709,214910,Engenheiro De Controle De Qualidade,132,109,122,11514.15,12971.18,17055.24,6,48,91,-7.6,1416.7
3538709,252105,Administrador,1409,1603,1691,4343.61,4383.4,6048.84,46,45,83,20.0,80.4
3538709,223208,Cirurgião Dentista - Clínico Geral,148,139,159,10033.51,10264.03,10380.58,72,73,80,7.4,11.1
3538709,141705,Gerente De Produtos Bancários,38,82,77,8800.8,9181.48,21948.6,0,0,74,102.6,
3538709,214905,Engenheiro De Produção,210,239,260,9152.89,9408.79,12772.09,0,0,73,23.8,
3538709,142115,Gerente Financeiro,293,305,339,6988.79,7067.44,8777.79,51,52,69,15.7,35.3
3538709,142205,Gerente De Recursos Humanos,262,252,262,8652.07,9546.65,11024.39,58,65,68,0.0,17.2
3538709,410105,Supervisor Administrativo,1837,1972,2086,4226.97,4247.08,5591.35,3,14,62,13.6,1966.7
3538709,141615,Gerente De Logística (Armazenagem E Distribuição),164,187,209,8203.74,8992.14,9639.98,40,52,59,27.4,47.5
3538709,214205,Engenheiro Civil,203,224,218,8281.52,8687.25,12196.0,27,28,54,7.4,100.0
3538709,142705,Gerente De Projetos E Serviços De Manutenção,147,162,198,9086.32,9506.24,11677.38,31,44,54,34.7,74.2
3538709,391125,Técnico De Planejamento De Produção,852,895,984,4843.25,5206.91,6063.19,0,0,53,15.5,
3538709,225140,Médico Do Trabalho,68,68,67,12939.76,14565.63,16424.04,27,46,51,-1.5,88.9
3538709,252210,Contador,1090,1155,1133,5003.41,5166.8,6176.44,4,6,49,3.9,1125.0
3538709,720210,Mestre (Indústria De Automotores E Material De Transportes),578,636,692,6206.8,6969.4,8449.81,0,7,46,19.7,
