id_municipio,nome_area_geral,nome_area_especifica,nome_area_detalhada,conc_2020,conc_2021,conc_2022,conc_2023,conc_2024,matr_2024,ing_2024,delta_conc_pct
3509502,Saúde e bem-estar,Saúde,Medicina e terapia tradicional e complementar,0,11,21,34,26,192,176,
3509502,"Ciências naturais, matemática e estatística",Ciências físicas,Ciências da terra,20,20,13,16,24,186,35,20.0
3509502,Educação,Educação,Ciência da educação,0,2,6,4,15,238,241,
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),0,1,0,3,15,71,85,
3509502,"Ciências sociais, comunicação e informação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação",0,0,0,0,14,273,278,
3509502,"Ciências sociais, comunicação e informação",Comunicação e informação,Ciência da informação e museologia,28,28,34,13,13,88,46,-53.6
3509502,"Negócios, administração e direito",Negócios e administração,Secretariado e trabalhos de escritório,6,5,10,7,8,56,51,33.3
3509502,"Negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito",2,0,1,4,7,31,36,250.0
3509502,Serviços,Higiene e serviços de saúde ocupacional,Saúde e segurança no trabalho,6,2,6,4,5,150,191,-16.7
3509502,Saúde e bem-estar,Programas interdisciplinares abrangendo saúde e bem-estar,Programas interdisciplinares abrangendo saúde e bem-estar,0,0,0,3,4,24,18,
3509502,Saúde e bem-estar,Bem-estar,Assistência a idosos e a deficientes,3,4,14,16,3,57,53,0.0
3509502,Serviços,Serviços pessoais,Esportes e lazer,0,1,1,0,3,20,4,
3509502,"Ciências sociais, comunicação e informação","Programas interdisciplinares abrangendo ciências sociais, comunicação e informação","Programas interdisciplinares abrangendo ciências sociais, comunicação e informação",0,0,0,0,2,7,3,
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia e profissões correlatas sem definição precisa,0,0,0,0,1,1,0,
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Programas abrangendo Computação e Tecnologias da Informação e Comunicação (TIC) em processo de definição da classificação,0,0,0,0,1,18,13,
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Gestão e desenvolvimento de sistemas de informação,388,605,626,692,0,0,0,-100.0
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Ciência da computação,176,181,147,164,0,0,0,-100.0
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Desenvolvimento de sistemas que integram software e hardware,92,144,77,88,0,0,0,-100.0
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Produção de software,48,63,46,61,0,0,0,-100.0
3509502,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Soluções computacionais para domínios específicos,0,3,15,26,0,0,0,
3509502,"Engenharia, produção e construção",Engenharia e profissões correlatas,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",1,0,2,2,0,11,7,-100.0
3525904,"Negócios, administração e direito",Negócios e administração,Gestão e administração,1636,1382,1116,1550,1654,8724,6367,1.1
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Análise e desenvolvimento de algoritmos e aplicações,0,0,0,0,349,2856,2004,
3525904,Saúde e bem-estar,Saúde,"Promoção, prevenção, terapia e reabilitação",299,426,386,369,318,2824,1748,6.4
3525904,Educação,Educação,Formação de professores sem áreas específicas,831,798,516,359,262,2374,1554,-68.5
3525904,"Negócios, administração e direito",Direito,Direito,493,411,329,322,245,1888,932,-50.3
3525904,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Psicologia,434,193,189,208,203,1972,1118,-53.2
3525904,Saúde e bem-estar,Saúde,Odontologia,0,0,0,0,172,618,232,
3525904,"Negócios, administração e direito",Negócios e administração,Marketing e propaganda,162,189,134,163,141,1118,817,-13.0
3525904,Saúde e bem-estar,Saúde,Enfermagem,102,161,133,148,138,1151,747,35.3
3525904,"Negócios, administração e direito",Negócios e administração,Gestão comercial,109,80,74,131,136,680,557,24.8
3525904,"Negócios, administração e direito",Negócios e administração,Contabilidade e tributação,282,192,156,170,132,1092,717,-53.2
3525904,"Engenharia, produção e construção",Arquitetura e construção,Engenharia civil e construção,351,242,190,136,131,699,408,-62.7
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Infraestrutura e gestão de TIC,76,98,72,114,124,965,705,63.2
3525904,"Negócios, administração e direito",Negócios e administração,"Finanças, bancos e seguros",86,79,86,113,122,532,443,41.9
3525904,Saúde e bem-estar,Saúde,Medicina,79,117,123,116,120,715,123,51.9
3525904,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletrônica e automação,128,144,96,88,116,545,270,-9.4
3525904,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia mecânica e metalurgia,281,272,166,112,115,780,397,-59.1
3525904,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletricidade e energia,81,125,68,63,115,636,354,42.0
3525904,Artes e humanidades,Artes,"Produção audiovisual, de mídia e cultural",57,41,36,87,85,444,344,49.1
3525904,Educação,Educação,Formação de professores em áreas específicas (exceto Letras),149,131,86,84,81,716,528,-45.6
3525904,"Engenharia, produção e construção",Produção e processamento,Produção e processos de fabricação,206,209,218,137,74,574,306,-64.1
3525904,Saúde e bem-estar,Saúde,Tecnologia de diagnóstico e tratamento médico,39,77,66,70,73,998,652,87.2
3525904,"Engenharia, produção e construção",Engenharia e profissões correlatas,Tecnologia de proteção ambiental,72,83,81,47,73,351,170,1.4
3525904,Saúde e bem-estar,Saúde,Farmácia,52,108,73,87,72,665,444,38.5
3525904,"Engenharia, produção e construção",Arquitetura e construção,Arquitetura e planejamento urbano,109,84,78,67,57,517,201,-47.7
3525904,Serviços,Serviços de segurança,Proteção de pessoas e de propriedades,30,29,27,32,51,285,267,70.0
3525904,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Economia,25,10,30,46,49,289,147,96.0
3525904,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia química e de processos,67,78,59,63,46,232,61,-31.3
3525904,Educação,Educação,Formação de professores de letras,71,80,53,57,41,309,198,-42.3
3525904,Serviços,Serviços pessoais,Turismo e hotelaria,47,37,42,31,39,169,122,-17.0
3525904,Serviços,Serviços pessoais,Serviços de beleza,85,68,57,71,38,367,295,-55.3
3525904,"Agricultura, silvicultura, pesca e veterinária",Veterinária,Veterinária,0,0,0,0,36,425,140,
3525904,Saúde e bem-estar,Bem-estar,Serviço social,108,74,55,44,34,275,183,-68.5
3525904,Artes e humanidades,Artes,"Moda, design de interiores e desenho industrial",22,27,16,36,33,228,194,50.0
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Soluções computacionais para domínios específicos,0,0,0,0,32,270,258,
3525904,"Ciências naturais, matemática e estatística",Ciências físicas,Química,4,1,23,19,20,151,95,400.0
3525904,"Ciências naturais, matemática e estatística",Ciências biológicas e correlatas,Biologia,20,27,20,11,15,123,98,-25.0
3525904,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Ciências sociais e políticas,0,3,5,14,14,155,111,
3525904,Saúde e bem-estar,Saúde,Medicina e terapia tradicional e complementar,0,0,3,12,10,101,85,
3525904,"Engenharia, produção e construção",Produção e processamento,Processamento de alimentos,19,5,12,6,10,56,24,-47.4
3525904,Artes e humanidades,Humanidades (exceto línguas),Religião e teologia,6,6,3,11,9,101,80,50.0
3525904,Serviços,Serviços pessoais,Serviços de alimentação,8,5,4,13,8,69,70,0.0
3525904,Serviços,Higiene e serviços de saúde ocupacional,Saúde e segurança no trabalho,0,0,0,0,7,97,147,
3525904,Serviços,Serviços de transporte,Serviços de transporte,2,1,5,10,6,25,13,200.0
3525904,Saúde e bem-estar,Bem-estar,Assistência a idosos e a deficientes,1,3,3,2,5,21,14,400.0
3525904,Educação,Educação,Ciência da educação,0,0,1,1,5,97,132,
3525904,"Negócios, administração e direito",Negócios e administração,Secretariado e trabalhos de escritório,4,0,1,8,4,26,22,0.0
3525904,"Ciências sociais, comunicação e informação",Comunicação e informação,Comunicação e reportagem,0,1,7,4,4,58,60,
3525904,"Ciências sociais, comunicação e informação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação",0,0,0,0,4,94,107,
3525904,"Negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito",0,0,0,1,3,9,8,
3525904,Artes e humanidades,Humanidades (exceto línguas),História e arqueologia,0,1,2,1,3,16,7,
3525904,Artes e humanidades,Humanidades (exceto línguas),Filosofia e ética,0,0,0,0,3,22,13,
3525904,Serviços,Serviços pessoais,Esportes e lazer,0,0,0,0,3,8,2,
3525904,Saúde e bem-estar,Programas interdisciplinares abrangendo saúde e bem-estar,Programas interdisciplinares abrangendo saúde e bem-estar,0,0,0,2,2,16,14,
3525904,"Ciências sociais, comunicação e informação","Programas interdisciplinares abrangendo ciências sociais, comunicação e informação","Programas interdisciplinares abrangendo ciências sociais, comunicação e informação",0,0,0,3,1,6,4,
3525904,"Ciências naturais, matemática e estatística",Matemática e estatística,Estatística,0,0,0,1,1,7,4,
3525904,"Ciências naturais, matemática e estatística",Matemática e estatística,Matemática,1,1,0,0,1,12,5,0.0
3525904,Artes e humanidades,Artes,Música e artes cênicas,0,0,0,0,1,5,6,
3525904,"Engenharia, produção e construção",Engenharia e profissões correlatas,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",0,0,2,0,1,10,5,
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Gestão e desenvolvimento de sistemas de informação,161,156,167,259,0,0,0,-100.0
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Ciência da computação,81,55,50,72,0,0,0,-100.0
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Desenvolvimento de sistemas que integram software e hardware,48,24,34,30,0,0,0,-100.0
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Soluções computacionais para domínios específicos,2,3,5,12,0,0,0,-100.0
3525904,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Produção de software,2,0,1,10,0,0,0,-100.0
3525904,Artes e humanidades,Línguas,Letras,1,1,2,4,0,19,15,-100.0
3525904,Artes e humanidades,Artes,Belas artes,0,0,0,2,0,29,20,
3525904,"Ciências sociais, comunicação e informação",Comunicação e informação,Ciência da informação e museologia,0,0,0,2,0,17,11,
3538709,"Negócios, administração e direito",Negócios e administração,Gestão e administração,1409,1219,1035,1225,1285,6639,4257,-8.8
3538709,"Negócios, administração e direito",Direito,Direito,580,396,299,319,314,1691,865,-45.9
3538709,Saúde e bem-estar,Saúde,"Promoção, prevenção, terapia e reabilitação",504,437,289,339,275,2354,1581,-45.4
3538709,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Psicologia,252,144,186,136,238,1538,626,-5.6
3538709,Educação,Educação,Formação de professores sem áreas específicas,682,780,583,364,229,2064,1268,-66.4
3538709,"Agricultura, silvicultura, pesca e veterinária",Agricultura,"Produção agrícola, agropecuária e zootecnia",154,179,169,210,208,1353,300,35.1
3538709,Saúde e bem-estar,Saúde,Enfermagem,198,148,160,142,183,1240,672,-7.6
3538709,Educação,Educação,Formação de professores em áreas específicas (exceto Letras),283,274,221,116,165,915,466,-41.7
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Análise e desenvolvimento de algoritmos e aplicações,0,0,0,0,158,1410,1047,
3538709,Saúde e bem-estar,Saúde,Medicina,0,0,0,0,152,706,136,
3538709,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia mecânica e metalurgia,145,134,137,98,124,1037,491,-14.5
3538709,"Negócios, administração e direito",Negócios e administração,Contabilidade e tributação,191,181,137,140,104,920,520,-45.5
3538709,Saúde e bem-estar,Saúde,Tecnologia de diagnóstico e tratamento médico,0,0,0,85,101,754,430,
3538709,"Engenharia, produção e construção",Arquitetura e construção,Engenharia civil e construção,192,133,139,97,99,607,313,-48.4
3538709,"Engenharia, produção e construção",Produção e processamento,Produção e processos de fabricação,126,116,149,125,98,874,408,-22.2
3538709,"Negócios, administração e direito",Negócios e administração,Marketing e propaganda,112,114,65,92,95,545,448,-15.2
