id_municipio,estabs_2020,estabs_2021,estabs_2023,estabs_2024,vinc_ativos_2020,vinc_ativos_2024
3509502,51145,52783,55867,59479,390337,472100
3525904,19004,19405,21427,23212,165266,201841
3538709,16442,16948,18687,19898,120764,158077
3552205,25699,27760,27762,29740,193985,247482
