id_municipio,descricao_subsetor,estabs_2020,estabs_2024,delta_estabs_pct,vinc_ativos_2024,vinc_total_2022,vinc_eleg_2022,pct_eleg_2022
3538709,Extrativismo Mineral,9,9,0.0,56,528,44,8.3
3538709,Indústria de Calçados,1,1,0.0,0,4,0,0.0
3552205,Comércio Varejista,7435,7865,5.8,41993,151455,727,0.5
3552205,Comércio e Administração de Imóveis e Serviços Técnicos,5880,7157,21.7,39093,54241,806,1.5
3552205,"Serviços Médicos, Odontológicos e Veterinários",1685,3103,84.2,17087,75493,286,0.4
3552205,"Serviços de Alojamento, Alimentação e Reparação",3281,2898,-11.7,19244,48458,83,0.2
3552205,Construção Civil,1362,1938,42.3,9196,19062,91,0.5
3552205,Comércio Atacadista,1318,1495,13.4,9654,22596,436,1.9
3552205,Transportes e Comunicações,1041,1099,5.6,11092,27914,307,1.1
3552205,Ensino,692,822,18.8,18394,15592,604,3.9
3552205,"Indústria de Produtos Alimentícios, Bebidas e Álcool",489,558,14.1,7160,28033,792,2.8
3552205,Indústria Metalúrgica,411,500,21.7,5957,9964,149,1.5
3552205,Indústria Mecânica,425,487,14.6,10492,39198,637,1.6
3552205,"Instituições de Crédito, Seguros e Capitalização",459,450,-2.0,4316,4921,1359,27.6
3552205,"Indústria da Borracha, Fumo, Couros e Similares",186,227,22.0,2329,6402,475,7.4
3552205,Indústria Química,169,203,20.1,6199,15161,752,5.0
3552205,"Indústria do Papel, Papelão, Editorial e Gráfica",169,168,-0.6,2297,2529,143,5.7
3552205,"Agricultura, Silvicultura, Criação de Animais e Extrativismo Vegetal",159,160,0.6,682,1997,6,0.3
3552205,Indústria Têxtil do Vestuário e Artefatos de Tecidos,147,160,8.8,3256,7622,118,1.5
3552205,Indústria da Madeira e do Mobiliário,81,103,27.2,985,1089,6,0.6
3552205,Indústria do Material de Transporte,78,99,26.9,15931,28157,1460,5.2
3552205,Indústria de Produtos Minerais Não Metálicos,72,85,18.1,1896,4695,22,0.5
3552205,Indústria do Material Elétrico e de Comunicações,75,81,8.0,5034,7227,1051,14.5
3552205,Serviços Industriais de Utilidade Pública,43,51,18.6,1918,2751,50,1.8
3552205,Administração Pública Direta e Autárquica,32,25,-21.9,13103,9767,649,6.6
3552205,Extrativismo Mineral,6,4,-33.3,118,974,33,3.4
3552205,Indústria de Calçados,4,2,-50.0,56,36,0,0.0
