co_uf,co_ies,co_curso,grupo_ies,no_curso,curso_agrupado_fgv,escola_fgv,sigla_ies,praca_fgv
35,2766,23597,FAAP,Relações Públicas,COMUNICAÇÃO,,FA-FAAP,SP
35,463,23598,FAAP,Comunicação Social,COMUNICAÇÃO,,FAAP,SP
35,1852,23598,FAAP,Comunicação Social - Cinema,COMUNICAÇÃO,,FAAP,SP
35,2766,23598,FAAP,Comunicação Social - Cinema,COMUNICAÇÃO,,FA-FAAP,SP
33,6017,23724,UERJ,Relações Públicas,COMUNICAÇÃO,,UERJ,RJ
33,5860,23972,UFRJ,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,UFRJ,RJ
35,6996,24024,ESPM,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,ESPM,SP
33,1758,25835,UFRJ,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UFRJ,RJ
33,4102,25835,UFRJ,Jornalismo,COMUNICAÇÃO,,UFRJ,RJ
35,594,26129,UNICAMP,Ciências Sociais,CIÊNCIAS SOCIAIS,,UNICAMP,SP
35,594,2697,UNICAMP,Ciências Econômicas,ECONOMIA,,UNICAMP,SP
35,594,2709,UNICAMP,Matemática Aplicada E Computacional,MATEMÁTICA,,UNICAMP,SP
53,4433,27830,UCB,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,UCB,DF
33,5808,28302,PUC-Rio,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,PUC-RIO,RJ
33,10384,28587,ESPM,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,ESPM,RJ
35,605,2860,USP,Direito,DIREITO,,USP,SP
35,605,2899,USP,Ciências Econômicas,ECONOMIA,,USP,SP
35,605,2900,USP,Administração,ADMINISTRAÇÃO,,USP,SP
35,605,2903,USP,Matemática,MATEMÁTICA,,USP,SP
35,605,2926,USP,Ciências Econômicas,ECONOMIA,,USP,SP
35,605,2927,USP,Administração,ADMINISTRAÇÃO,,USP,SP
53,1612,29616,UCB,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UCB,DF
53,2821,29616,UCB,Jornalismo,COMUNICAÇÃO,,UCB,DF
53,14,29692,UNB,Ciências Sociais,CIÊNCIAS SOCIAIS,,UNB,DF
35,2315,30080,FAAP,Comunicação Social,COMUNICAÇÃO,,FAAP,SP
35,1383,30080,FAAP,Comunicação Social,COMUNICAÇÃO,,FA-FAAP,SP
