co_uf,co_curso,grupo_ies_abr,co_ies,curso_ies,curso_agrupado_fgv,curso_praca,escola_fgv,no_curso,praca_fgv,sigla_ies,curso_agrupado_key,grupo_ies_key
53,4,UNICEUB,402,UNICEUB-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,UNICEUB,ADMINISTRACAO,UNICEUB
53,4,UNICEUB,402,UNICEUB-Direito,DIREITO,DIREITO_DF,,Direito,DF,UNICEUB,DIREITO,UNICEUB
53,4,UNICEUB,402,UNICEUB-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Publicidade E Propaganda,DF,UNICEUB,COMUNICACAO,UNICEUB
35,4,USP,165,USP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,USP,ADMINISTRACAO,USP
35,4,USP,110,USP-Direito,DIREITO,DIREITO_SP,,Direito,SP,USP,DIREITO,USP
35,4,USP,55,USP-Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Publicidade E Propaganda,SP,USP,COMUNICACAO,USP
35,4,USP,55,USP-Relações Públicas,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Relações Públicas,SP,USP,COMUNICACAO,USP
35,41765,UNICAMP,594,UNICAMP-Matemática,MATEMÁTICA,MATEMÁTICA_SP,,Matemática,SP,UNICAMP,MATEMATICA,UNICAMP
35,41876,MACKENZIE,242,MACKENZIE-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Jornalismo,SP,MACKENZIE,COMUNICACAO,MACKENZIE
33,42248,UCAM,12683,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,42271,UCAM,12683,UCAM-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UCAM,DIREITO,UCAM
33,46493,IBMEC,14585,IBMEC-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,IBMEC,DIREITO,IBMEC
33,49313,FGV,20361,EBAPE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,EBAPE,Administração,RJ,FGV,ADMINISTRACAO,FGV
33,49315,FGV,28501,FGV-Ciências Econômicas,ECONOMIA,ECONOMIA_RJ,EPGE,Ciências Econômicas,RJ,FGV,ECONOMIA,FGV
33,5,FGV,13695,FGV-Matemática Aplicada E Computacional,MATEMÁTICA,MATEMÁTICA_RJ,EMAP,Matemática Aplicada E Computacional,RJ,FGV,MATEMATICA,FGV
33,5,PUC-Rio,528,PUC-RIO-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,PUC-RIO,MATEMATICA,PUCRIO
33,5,UERJ,547,UERJ-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UERJ,MATEMATICA,UERJ
33,5,UFF,1716,UFF-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UFF,MATEMATICA,UFF
33,5,UFRJ,586,UFRJ-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UFRJ,MATEMATICA,UFRJ
33,5,UFRJ,586,UFRJ-Matemática Aplicada E Computacional,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática Aplicada E Computacional,RJ,UFRJ,MATEMATICA,UFRJ
53,5,UNB,2,UNB-Matemática,MATEMÁTICA,MATEMÁTICA_DF,,Matemática,DF,UNB,MATEMATICA,UNB
35,5,UNICAMP,54,UNICAMP-Matemática,MATEMÁTICA,MATEMÁTICA_SP,,Matemática,SP,UNICAMP,MATEMATICA,UNICAMP
35,5,UNICAMP,54,UNICAMP-Matemática Aplicada E Computacional,MATEMÁTICA,MATEMÁTICA_SP,,Matemática Aplicada E Computacional,SP,UNICAMP,MATEMATICA,UNICAMP
35,5,USP,110,USP-Matemática,MATEMÁTICA,MATEMÁTICA_SP,,Matemática,SP,USP,MATEMATICA,USP
35,5,USP,165,USP-Matemática Aplicada E Computacional,MATEMÁTICA,MATEMÁTICA_SP,,Matemática Aplicada E Computacional,SP,USP,MATEMATICA,USP
35,5000366,ESPM,6996,ESPM-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Jornalismo,SP,ESPM,COMUNICACAO,ESPM
33,5000477,UFF,6292,UFF-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UFF,MATEMATICA,UFF
35,5000791,USP,385,USP-Economia Empresarial E Controladoria Com Habilitação Em Economia - Ênfase Em Finanças,ECONOMIA,ECONOMIA_SP,,Economia Empresarial E Controladoria Com Habilitação Em Economia - Ênfase Em Finanças,SP,USP,ECONOMIA,USP
35,5000792,USP,385,USP-Economia Empresarial E Controladoria Com Habilitação Em Economia - Ênfase Em Negócios Internacionais,ECONOMIA,ECONOMIA_SP,,Economia Empresarial E Controladoria Com Habilitação Em Economia - Ênfase Em Negócios Internacionais,SP,USP,ECONOMIA,USP
35,5000794,USP,385,USP-Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Finanças,ECONOMIA,ECONOMIA_SP,,Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Finanças,SP,USP,ECONOMIA,USP
35,5000795,USP,330,USP-Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Negócios Internacionais,ECONOMIA,ECONOMIA_SP,,Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Negócios Internacionais,SP,USP,ECONOMIA,USP
35,5000797,USP,385,USP-Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Políticas Públicas,ECONOMIA,ECONOMIA_SP,,Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Políticas Públicas,SP,USP,ECONOMIA,USP
35,5000843,USP,220,USP-Estatística E Ciência De Dados,CIÊNCIA DE DADOS,CIÊNCIA DE DADOS_SP,,Estatística E Ciência De Dados,SP,USP,CIENCIA DE DADOS,USP
33,5000988,UCAM,12683,UCAM-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UCAM,DIREITO,UCAM
35,50500,PUC-SP,6006,PUCSP-Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Comunicação Social - Publicidade E Propaganda,SP,PUCSP,COMUNICACAO,PUCSP
33,52258,UFF,6292,UFF-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UFF,DIREITO,UFF
33,5316,UCAM,12683,UCAM-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UCAM,DIREITO,UCAM
33,5317,UCAM,12683,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,5329,UCAM,12683,UCAM-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,UCAM,DIREITO,UCAM
33,5331,UCAM,11530,UCAM-Ciências Econômicas,ECONOMIA,ECONOMIA_RJ,,Ciências Econômicas,RJ,UCAM,ECONOMIA,UCAM
33,5332,UCAM,12683,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,5337,UCAM,12683,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,5343,UCAM,12683,UCAM-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UCAM,ADMINISTRACAO,UCAM
33,5381,MACKENZIE,2145,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,MACKENZIE,ADMINISTRACAO,MACKENZIE
33,5382,MACKENZIE,2145,MACKENZIE-Direito,DIREITO,DIREITO_RJ,,Direito,RJ,MACKENZIE,DIREITO,MACKENZIE
33,5383,MACKENZIE,2145,MACKENZIE-Ciências Econômicas,ECONOMIA,ECONOMIA_RJ,,Ciências Econômicas,RJ,MACKENZIE,ECONOMIA,MACKENZIE
35,54304,IBMEC,27115,IBMEC SP-Direito,DIREITO,DIREITO_SP,,Direito,SP,IBMEC SP,DIREITO,IBMEC
33,57166,UCAM,3459,UCAM-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UCAM,COMUNICACAO,UCAM
33,57180,UCAM,8071,UCAM-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UCAM,COMUNICACAO,UCAM
33,57182,UCAM,8071,UCAM-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UCAM,COMUNICACAO,UCAM
33,57231,UCAM,3459,UCAM-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UCAM,COMUNICACAO,UCAM
33,6,FGV,13695,FGV-Ciência De Dados,CIÊNCIA DE DADOS,CIÊNCIA DE DADOS_RJ,EMAP,Ciência De Dados,RJ,FGV,CIENCIA DE DADOS,FGV
35,6,PUC-SP,546,PUCSP-Ciência De Dados,CIÊNCIA DE DADOS,CIÊNCIA DE DADOS_SP,,Ciência De Dados,SP,PUCSP,CIENCIA DE DADOS,PUCSP
35,60200,USP,605,USP-Relações Internacionais,RI,RI_SP,,Relações Internacionais,SP,USP,RI,USP
35,63414,FGV,23419,EESP-Ciências Econômicas,ECONOMIA,ECONOMIA_SP,EESP,Ciências Econômicas,SP,EESP,ECONOMIA,FGV
33,65859,FGV,23386,DIREITO RIO-Direito,DIREITO,DIREITO_RJ,DIREITO RJ,Direito,RJ,DIREITO RIO,DIREITO,FGV
33,66447,UCAM,12683,UCAM-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UCAM,RI,UCAM
33,66484,UCAM,8071,UCAM-Comunicação Social - Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social - Jornalismo,RJ,UCAM,COMUNICACAO,UCAM
33,66485,UCAM,1153,UCAM-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UCAM,COMUNICACAO,UCAM
35,67985,FGV,23408,FGV-Direito,DIREITO,DIREITO_SP,DIREITO SP,Direito,SP,FGV,DIREITO,FGV
35,68048,MACKENZIE,242,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,MACKENZIE,ADMINISTRACAO,MACKENZIE
35,68916,UNICAMP,594,UNICAMP-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Comunicação Social,SP,UNICAMP,COMUNICACAO,UNICAMP
33,70608,PUC-Rio,5808,PUC-RIO-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,PUC-RIO,RI,PUCRIO
53,70638,UNB,22,UNB-Comunicação Social - Audiovisual,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Comunicação Social - Audiovisual,DF,UNB,COMUNICACAO,UNB
33,71061,UFRJ,6446,UFRJ-Matemática Aplicada,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática Aplicada,RJ,UFRJ,MATEMATICA,UFRJ
53,8295,UNICEUB,4422,UNICEUB-Direito,DIREITO,DIREITO_DF,,Direito,DF,UNICEUB,DIREITO,UNICEUB
53,8299,UNICEUB,4422,UNICEUB-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,UNICEUB,ADMINISTRACAO,UNICEUB
53,8333,UCB,4433,UCB-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_DF,,Administração,DF,UCB,ADMINISTRACAO,UCB
53,8334,UCB,4433,UCB-Ciências Econômicas,ECONOMIA,ECONOMIA_DF,,Ciências Econômicas,DF,UCB,ECONOMIA,UCB
53,8343,UCB,4433,UCB-Relações Internacionais,RI,RI_DF,,Relações Internacionais,DF,UCB,RI,UCB
33,83914,FGV,39754,FGV-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,CPDOC,Ciências Sociais,RJ,FGV,CIENCIAS SOCIAIS,FGV
33,87202,PUC-Rio,5808,PUC-RIO-Comunicação Social - Cinema,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social - Cinema,RJ,PUC-RIO,COMUNICACAO,PUCRIO
35,89498,PUC-SP,4368,PUCSP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,PUCSP,ADMINISTRACAO,PUCSP
35,89499,PUC-SP,1092,PUCSP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,PUCSP,ADMINISTRACAO,PUCSP
33,90475,UFF,6292,UFF-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_RJ,,Administração,RJ,UFF,ADMINISTRACAO,UFF
53,90659,PROCESSUS BSB,27324,PFD-Direito,DIREITO,DIREITO_DF,,Direito,DF,PFD,DIREITO,PROCESSUS BSB
33,95179,ESPM,7552,ESPM-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,ESPM,RI,ESPM
35,95898,ESPM,6996,ESPM-Relações Internacionais,RI,RI_SP,,Relações Internacionais,SP,ESPM,RI,ESPM
35,9609,FAAP,5071,FA-FAAP-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,FA-FAAP,ADMINISTRACAO,FAAP
35,9633,FAAP,2320,FAAP-Ciências Econômicas,ECONOMIA,ECONOMIA_SP,,Ciências Econômicas,SP,FAAP,ECONOMIA,FAAP
35,9633,FAAP,2766,FA-FAAP-Ciências Econômicas,ECONOMIA,ECONOMIA_SP,,Ciências Econômicas,SP,FA-FAAP,ECONOMIA,FAAP
33,97209,IBMEC,14585,IBMEC-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,IBMEC,RI,IBMEC
