co_uf,co_curso,grupo_ies_abr,co_ies,curso_ies,curso_agrupado_fgv,curso_praca,escola_fgv,no_curso,praca_fgv,sigla_ies,curso_agrupado_key,grupo_ies_key
33,3,PUC-Rio,528,PUC-RIO-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,PUC-RIO,RI,PUCRIO
35,3,PUC-SP,546,PUCSP-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_SP,,Ciências Sociais,SP,PUCSP,CIENCIAS SOCIAIS,PUCSP
35,3,PUC-SP,1092,PUCSP-Economia,ECONOMIA,ECONOMIA_SP,,Economia,SP,PUCSP,ECONOMIA,PUCSP
35,3,PUC-SP,546,PUCSP-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Jornalismo,SP,PUCSP,COMUNICACAO,PUCSP
35,3,PUC-SP,546,PUCSP-Relações Internacionais,RI,RI_SP,,Relações Internacionais,SP,PUCSP,RI,PUCSP
33,3,UCAM,1153,UCAM-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UCAM,CIENCIAS SOCIAIS,UCAM
33,3,UCAM,1153,UCAM-Economia,ECONOMIA,ECONOMIA_RJ,,Economia,RJ,UCAM,ECONOMIA,UCAM
33,3,UCAM,2306,UCAM-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UCAM,RI,UCAM
53,3,UCB,403,UCB-Economia,ECONOMIA,ECONOMIA_DF,,Economia,DF,UCB,ECONOMIA,UCB
53,3,UCB,403,UCB-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Jornalismo,DF,UCB,COMUNICACAO,UCB
53,3,UCB,403,UCB-Relações Internacionais,RI,RI_DF,,Relações Internacionais,DF,UCB,RI,UCB
33,3,UERJ,547,UERJ-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UERJ,CIENCIAS SOCIAIS,UERJ
33,3,UERJ,547,UERJ-Economia,ECONOMIA,ECONOMIA_RJ,,Economia,RJ,UERJ,ECONOMIA,UERJ
33,3,UERJ,547,UERJ-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Jornalismo,RJ,UERJ,COMUNICACAO,UERJ
33,3,UERJ,547,UERJ-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UERJ,RI,UERJ
33,3,UFF,1144,UFF-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UFF,CIENCIAS SOCIAIS,UFF
33,3,UFF,572,UFF-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Comunicação Social,RJ,UFF,COMUNICACAO,UFF
33,3,UFF,1144,UFF-Economia,ECONOMIA,ECONOMIA_RJ,,Economia,RJ,UFF,ECONOMIA,UFF
33,3,UFF,572,UFF-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Jornalismo,RJ,UFF,COMUNICACAO,UFF
33,3,UFF,572,UFF-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UFF,RI,UFF
33,3,UFRJ,586,UFRJ-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,UFRJ,CIENCIAS SOCIAIS,UFRJ
33,3,UFRJ,586,UFRJ-Economia,ECONOMIA,ECONOMIA_RJ,,Economia,RJ,UFRJ,ECONOMIA,UFRJ
